line_number,byte_offset,raw_line_sha256,message,kind,time_sec,wait_sec,vehicle_id,route_decision,route_index,link,position_m,omega,terminal_inside,physical_input_source_link
14,2277,8850238424cd529c9c3f3bac9bb785c50c16222430fc1b0107078c587d0e0b80,Warning	Simulation second 467.0: After 45.0 seconds of waiting for lane change the vehicle 590 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 590,lane_change_removal,467.0,45.0,590,1159,1,310,93.3,outside,False,False
37,6503,a8f6b8e55c9ee95cae4ff5ddc9228409a29f31fcbc5d2f2f49a1b4042997f3df,Warning	Simulation second 756.0: After 45.0 seconds of waiting for lane change the vehicle 1937 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 1937,lane_change_removal,756.0,45.0,1937,1159,1,310,93.3,outside,False,False
58,10402,e2ddafa5b2dd2aab23498960b3dad7917a7f634d6cc23ede66ce3e7d38879944,Warning	Simulation second 909.0: After 45.0 seconds of waiting for lane change the vehicle 2667 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 2667,lane_change_removal,909.0,45.0,2667,1159,1,310,93.3,outside,False,False
70,12659,0f56c543a5ce7202eacc1554f94f90e3b07f84ae6950ac901274a9ed857ce114,Warning	Simulation second 954.0: After 45.0 seconds of waiting for lane change the vehicle 3916 (on Static Vehicle Route 1156 - 1) was removed from link 107 at position 476.1.	Network object type: Vehicle	Network object keys: 3916,lane_change_removal,954.0,45.0,3916,1156,1,107,476.1,outside,False,False
72,13083,5567a80643a6b037356150c9e4a56989c5edbb1707e412e054d89de6efaa21bd,Warning	Simulation second 958.0: After 45.0 seconds of waiting for lane change the vehicle 2955 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 2955,lane_change_removal,958.0,45.0,2955,1159,1,310,93.3,outside,False,False
75,13728,1feedad201996ad0d3374c6036faf824f6b0b69d8becf483203c12c827f9e613,Warning	Simulation second 959.0: After 45.0 seconds of waiting for lane change the vehicle 4133 (on Static Vehicle Route 1024 - 3: 우) was removed from link 1220014100 at position 105.7.	Network object type: Vehicle	Network object keys: 4133,lane_change_removal,959.0,45.0,4133,1024,3,1220014100,105.7,inside,False,False
90,16513,e6984e44c9701c4d9b9b6bfeef977ad3d7e16a36b7275e7f3c17ea74c324bd54,Warning	Simulation second 1060.0: After 45.0 seconds of waiting for lane change the vehicle 2464 (on Static Vehicle Route 1113 - 3) was removed from link 329 at position 113.0.	Network object type: Vehicle	Network object keys: 2464,lane_change_removal,1060.0,45.0,2464,1113,3,329,113.0,inside,False,False
91,16764,2cced15e3a3d8c2fa2aab9e2b0fb461e0c853ac62bcedc4e7cb8d51db57de31d,Warning	Simulation second 1065.0: After 45.0 seconds of waiting for lane change the vehicle 3692 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 3692,lane_change_removal,1065.0,45.0,3692,1159,1,310,93.3,outside,False,False
108,20046,9a387480bae0f61cf590bcd0b1acbc547a0d8e1099e87882baf21ce6045cb29c,Warning	Simulation second 1172.0: After 45.0 seconds of waiting for lane change the vehicle 3971 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 3971,lane_change_removal,1172.0,45.0,3971,1159,1,310,93.3,outside,False,False
119,22170,e70d33aca2ee4f2f873205a2dfd014dc22e017cef9e3186d1336b401a9242d3b,Warning	Simulation second 1221.0: After 45.0 seconds of waiting for lane change the vehicle 4619 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 4619,lane_change_removal,1221.0,45.0,4619,1159,1,310,93.3,outside,False,False
120,22420,2110a28ba199057db33110ab2f786e74e22c19b0aded4f7b597ba1dbd0129c4a,Warning	Simulation second 1225.0: After 45.0 seconds of waiting for lane change the vehicle 4822 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 85.8.	Network object type: Vehicle	Network object keys: 4822,lane_change_removal,1225.0,45.0,4822,1159,1,310,85.8,outside,False,False
141,26335,1523cd663bfc275fe20bb59a6d822010ef832be83a5e261114bea2349e981122,Warning	Simulation second 1320.0: After 45.0 seconds of waiting for lane change the vehicle 5416 (on Static Vehicle Route 1159 - 1) was removed from link 310 at position 93.3.	Network object type: Vehicle	Network object keys: 5416,lane_change_removal,1320.0,45.0,5416,1159,1,310,93.3,outside,False,False
