model_node,leg,status,veh,inflow_veh_h,source_links,note
SC1004,SE,mapped,1384,849,66,상류 종단에 vehicleInput 있음 — 자동 확정
SC104,NE,mapped,438,1876,55,상류 종단에 vehicleInput 있음 — 자동 확정
SC106,SE,mapped,363,749,42 48 50,상류 종단에 vehicleInput 있음 — 자동 확정
SC1,SE,mapped,307,1336,1220042300,상류 종단에 vehicleInput 있음 — 자동 확정
SC104,NW,mapped,271,760,60,상류 종단에 vehicleInput 있음 — 자동 확정
SC1005,SW,mapped,226,1400,69,상류 종단에 vehicleInput 있음 — 자동 확정
SC108,SE,mapped,225,1315,1220044500 21,상류 종단에 vehicleInput 있음 — 자동 확정
SC102,NW,mapped,221,624,293,상류 종단에 vehicleInput 있음 — 자동 확정
SC2005,NW,mapped,201,879,117,상류 종단에 vehicleInput 있음 — 자동 확정
SC2002,NW,mapped,194,252,90,상류 종단에 vehicleInput 있음 — 자동 확정
SC103,NW,mapped,187,804,113,상류 종단에 vehicleInput 있음 — 자동 확정
SC106,NE,mapped,183,311,13 11 9 15,상류 종단에 vehicleInput 있음 — 자동 확정
SC109,NE,mapped,174,1346,1220000704,상류 종단에 vehicleInput 있음 — 자동 확정
SC5,SE,mapped,165,168,256,상류 종단에 vehicleInput 있음 — 자동 확정
SC1004,SW,mapped,163,1400,69,상류 종단에 vehicleInput 있음 — 자동 확정
SC107,SE,mapped,143,404,379,상류 종단에 vehicleInput 있음 — 자동 확정
SC16,NE,mapped,36,132,1220011200,상류 종단에 vehicleInput 있음 — 자동 확정
SC13,SE,mapped,36,82,1220013100,상류 종단에 vehicleInput 있음 — 자동 확정
SC11,SW,mapped,29,168,236 247 242 240,상류 종단에 vehicleInput 있음 — 자동 확정
SC10,SE,mapped,19,420,138,상류 종단에 vehicleInput 있음 — 자동 확정
SC7,NE,mapped,17,84,201 197,상류 종단에 vehicleInput 있음 — 자동 확정
SC1,NE,mapped,16,168,236 249 242 251,상류 종단에 vehicleInput 있음 — 자동 확정
SC12,W,mapped,14,126,217 225 224,상류 종단에 vehicleInput 있음 — 자동 확정
SC108,SW,mapped,14,404,379,상류 종단에 vehicleInput 있음 — 자동 확정
SC11,NE,mapped,12,126,217 225 224,상류 종단에 vehicleInput 있음 — 자동 확정
SC15,NE,mapped,9,294,341,상류 종단에 vehicleInput 있음 — 자동 확정
SC15,SW,mapped,9,294,343,상류 종단에 vehicleInput 있음 — 자동 확정
SC16,SE,mapped,7,252,164,상류 종단에 vehicleInput 있음 — 자동 확정
SC9001,SW,mapped,7,165,364,상류 종단에 vehicleInput 있음 — 자동 확정
SC16,SW,mapped,5,84,201 197,상류 종단에 vehicleInput 있음 — 자동 확정
