sim_sec,total_vehicles,urban_vehicles,freeway_vehicles,ramp_vehicles,boundary_vehicles,other_vehicles,mean_speed_kph,stopped_vehicles,controller_action
0,0,0,0,0,0,0,0.000,0,INIT
5,0,0,0,0,0,0,0.000,0,GLOBAL_NOOP
10,1,0,0,0,1,0,58.324,0,GLOBAL_NOOP
15,3,0,1,0,2,0,55.896,0,GLOBAL_NOOP
20,3,0,1,0,2,0,53.618,0,GLOBAL_NOOP
25,3,0,1,0,2,0,56.878,0,GLOBAL_NOOP
30,4,0,1,0,3,0,54.511,0,GLOBAL_NOOP
35,5,0,2,0,3,0,54.176,0,GLOBAL_NOOP
40,6,0,2,0,3,1,55.509,0,GLOBAL_NOOP
45,7,1,2,1,3,0,54.359,0,GLOBAL_NOOP
50,7,1,2,1,3,0,54.590,0,GLOBAL_NOOP
55,8,1,1,1,4,1,54.393,0,GLOBAL_NOOP
60,8,1,1,0,3,3,55.355,0,GLOBAL_NOOP
65,9,2,2,0,3,2,55.441,0,GLOBAL_NOOP
70,11,1,3,0,3,4,54.016,0,GLOBAL_NOOP
75,11,2,3,1,2,3,55.549,0,GLOBAL_NOOP
80,11,3,3,2,2,1,53.440,0,GLOBAL_NOOP
85,14,3,3,2,4,2,53.480,0,GLOBAL_NOOP
90,14,4,4,1,4,1,54.388,0,GLOBAL_NOOP
95,15,3,5,1,4,2,53.645,0,GLOBAL_NOOP
100,15,2,4,1,4,4,53.536,0,GLOBAL_NOOP
105,16,3,4,2,5,2,52.718,0,GLOBAL_NOOP
110,17,2,4,2,6,3,53.954,0,GLOBAL_NOOP
115,17,2,4,3,5,3,53.641,0,GLOBAL_NOOP
120,17,3,5,2,4,3,54.071,0,GLOBAL_NOOP
125,17,3,5,1,4,4,53.850,0,GLOBAL_NOOP
130,18,4,4,1,5,4,52.896,0,GLOBAL_NOOP
135,20,3,4,1,6,6,54.023,0,GLOBAL_NOOP
140,21,4,4,2,7,4,53.520,0,GLOBAL_NOOP
145,23,4,6,1,8,4,53.395,0,GLOBAL_NOOP
150,22,4,5,1,8,4,53.334,0,GLOBAL_NOOP
155,22,4,5,2,8,3,52.929,0,GLOBAL_NOOP
160,25,2,5,2,10,6,53.697,0,GLOBAL_NOOP
165,26,2,5,3,11,5,52.357,0,GLOBAL_NOOP
170,26,3,6,4,9,4,53.390,0,GLOBAL_NOOP
175,26,3,6,4,10,3,53.293,0,GLOBAL_NOOP
180,25,3,5,3,8,6,53.154,0,GLOBAL_NOOP
