win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
0,126,0,120.631195,10480_RDW,26,3525,48,0,120.20438
1,705,0,110.33567,10480_RDW,26,3525,239,0,98.90456
2,915,17,85.69056,10480_RDW,26,3525,305,5,71.738914
3,975,0,94.342384,10480_RDW,26,3525,314,0,79.510666
4,933,10,92.41479,10480_RDW,26,3525,302,0,89.00298
5,1166,15,77.056335,10480_RDW,26,3525,415,11,54.378628
6,1134,25,78.399155,10480_RDW,26,3525,406,16,59.94384
7,1071,0,86.50662,10480_RDW,26,3525,352,0,69.255
8,1127,23,77.07816,10480_RDW,26,3525,394,17,54.427258
9,1046,14,79.46534,10480_RDW,26,3525,410,14,56.21193
10,1113,9,83.3083,10480_RDW,26,3525,377,7,62.49621
11,1086,30,74.014145,10480_RDW,26,3525,330,10,60.35573
12,995,5,87.411095,10480_RDW,26,3525,365,5,66.04773
13,1020,8,84.32024,10480_RDW,26,3525,393,7,60.701653
14,1068,17,74.625626,10480_RDW,26,3525,360,16,50.664665
15,955,0,79.89204,10480_RDW,26,3525,300,0,70.24047
16,1053,0,78.334724,10480_RDW,26,3525,320,0,68.15318
17,968,0,78.33084,10480_RDW,26,3525,325,0,65.902306
18,1104,29,70.75774,10480_RDW,26,3525,395,29,51.10739
19,1103,46,67.36983,10480_RDW,26,3525,407,46,44.782013
20,1041,16,73.00807,10480_RDW,26,3525,365,16,54.99559
21,1087,3,74.62847,10480_RDW,26,3525,356,2,60.75896
22,1123,1,74.86639,10480_RDW,26,3525,326,0,62.80546
23,1204,12,72.53351,10480_RDW,26,3525,357,3,64.00748
24,1110,11,74.455475,10480_RDW,26,3525,340,11,55.649086
25,1167,32,68.245544,10480_RDW,26,3525,376,30,42.021942
26,926,4,75.877495,10480_RDW,26,3525,319,4,59.158337
27,1138,13,72.71645,10480_RDW,26,3525,368,13,54.894238
28,986,3,76.77647,10480_RDW,26,3525,296,2,61.927906
29,970,2,80.51966,10480_RDW,26,3525,280,2,69.99522
30,926,1,82.23582,10480_RDW,26,3525,270,1,75.75226
31,922,3,77.9183,10480_RDW,26,3525,280,3,66.71586
32,1283,4,74.50557,10480_RDW,26,3525,385,4,57.523067
33,1052,0,79.95795,10480_RDW,26,3525,273,0,75.9237
34,973,3,92.81712,10480_RDW,26,3525,270,3,82.45089
35,994,1,90.70813,10480_RDW,26,3525,322,0,67.16038
0,84,0,118.34821,10482_RDW,26,3830,20,0,125.889
1,739,0,90.03451,10482_RDW,26,3830,177,0,73.23853
2,793,0,89.040764,10482_RDW,26,3830,189,0,74.54561
3,924,0,85.53033,10482_RDW,26,3830,223,0,73.29
4,1015,11,74.36756,10482_RDW,26,3830,266,0,62.39515
5,1170,12,68.63432,10482_RDW,26,3830,298,7,53.124496
6,1060,15,75.59966,10482_RDW,26,3830,299,14,55.707794
7,1117,0,76.036156,10482_RDW,26,3830,292,0,57.591984
8,1111,6,72.64363,10482_RDW,26,3830,287,2,53.52338
9,962,10,76.51183,10482_RDW,26,3830,246,10,48.156666
10,1092,5,76.24604,10482_RDW,26,3830,280,4,53.44875
11,988,2,76.17821,10482_RDW,26,3830,247,1,58.214817
