win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
0,126,0,120.631195,10480_RDW,26,3525,48,0,120.20438
1,705,0,110.33567,10480_RDW,26,3525,239,0,98.90456
2,915,17,85.69056,10480_RDW,26,3525,305,5,71.738914
3,975,0,94.342384,10480_RDW,26,3525,314,0,79.510666
4,933,10,92.41479,10480_RDW,26,3525,302,0,89.00298
5,1166,15,77.056335,10480_RDW,26,3525,415,11,54.378628
6,1141,26,77.55719,10480_RDW,26,3525,407,15,58.659092
7,1041,0,89.561386,10480_RDW,26,3525,355,0,69.47115
8,1194,37,71.60338,10480_RDW,26,3525,466,32,42.716007
9,1081,25,71.72868,10480_RDW,26,3525,497,25,45.71738
10,1095,31,77.51441,10480_RDW,26,3525,438,25,49.07671
11,1052,7,88.31417,10480_RDW,26,3525,346,7,62.197975
12,994,8,85.207275,10480_RDW,26,3525,328,8,67.32768
13,1005,7,79.352264,10480_RDW,26,3525,387,7,52.641293
14,1211,199,65.64837,10480_RDW,26,3525,649,199,31.533297
15,1446,357,49.554756,10480_RDW,26,3525,870,356,19.458437
16,1856,651,41.714806,10480_RDW,26,3525,1129,650,12.955456
17,1579,512,40.796604,10480_RDW,26,3525,942,499,14.945754
18,1339,392,43.16496,10480_RDW,26,3525,903,391,17.196335
19,1163,232,51.991505,10480_RDW,26,3525,733,232,23.608158
20,1311,261,48.463066,10480_RDW,26,3525,727,255,22.144222
21,864,41,74.55245,10480_RDW,26,3525,406,41,46.015686
22,1062,145,64.23126,10480_RDW,26,3525,550,145,33.36531
23,1063,89,69.84455,10480_RDW,26,3525,492,89,40.01886
24,1274,153,63.74361,10480_RDW,26,3525,581,149,35.43759
25,1672,446,45.97657,10480_RDW,26,3525,965,444,16.038208
26,1666,681,39.475483,10480_RDW,26,3525,1070,681,11.546336
27,1302,276,53.861122,10480_RDW,26,3525,751,274,23.115671
28,1482,553,40.229073,10480_RDW,26,3525,1002,553,14.005079
29,1321,270,52.555237,10480_RDW,26,3525,694,259,25.749928
30,980,95,67.18462,10480_RDW,26,3525,523,94,36.873272
31,1201,136,64.48869,10480_RDW,26,3525,580,136,35.56586
32,1227,250,58.34215,10480_RDW,26,3525,654,247,28.361195
33,1286,269,57.643406,10480_RDW,26,3525,705,265,24.621885
34,1311,254,56.322918,10480_RDW,26,3525,756,254,25.816547
35,1540,462,46.935852,10480_RDW,26,3525,924,461,15.615931
0,84,0,118.34821,10482_RDW,26,3830,20,0,125.889
1,739,0,90.03451,10482_RDW,26,3830,177,0,73.23853
2,793,0,89.040764,10482_RDW,26,3830,189,0,74.54561
3,924,0,85.53033,10482_RDW,26,3830,223,0,73.29
4,1015,11,74.36756,10482_RDW,26,3830,266,0,62.39515
5,1170,12,68.63432,10482_RDW,26,3830,298,7,53.124496
6,1058,17,74.35819,10482_RDW,26,3830,295,12,52.53851
7,1153,4,74.73665,10482_RDW,26,3830,276,0,58.835545
8,1143,3,71.2898,10482_RDW,26,3830,319,3,50.30245
9,976,10,71.52107,10482_RDW,26,3830,275,10,50.337746
10,1012,5,77.37822,10482_RDW,26,3830,283,4,53.89668
11,975,7,84.5029,10482_RDW,26,3830,239,7,58.763264
