win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
0,126,0,120.799286,10480_RDW,26,3525,48.0,0.0,120.20438
1,708,1,109.67343,10480_RDW,26,3525,239.0,1.0,97.50716
2,919,17,85.54338,10480_RDW,26,3525,309.0,5.0,71.705376
3,945,2,96.36108,10480_RDW,26,3525,303.0,1.0,79.057396
4,1005,23,86.02457,10480_RDW,26,3525,373.0,16.0,70.12491
5,1078,9,83.683975,10480_RDW,26,3525,388.0,9.0,57.675926
6,1015,27,86.33993,10480_RDW,26,3525,354.0,13.0,68.39932
7,1150,12,78.41915,10480_RDW,26,3525,416.0,11.0,52.632164
8,891,0,89.493164,10480_RDW,26,3525,335.0,0.0,66.41687
9,928,10,90.01389,10480_RDW,26,3525,355.0,10.0,68.41228
10,893,0,97.33411,10480_RDW,26,3525,276.0,0.0,82.921776
11,1064,6,90.594315,10480_RDW,26,3525,335.0,6.0,67.75179
12,1057,21,80.780685,10480_RDW,26,3525,384.0,21.0,55.56802
13,876,11,90.83551,10480_RDW,26,3525,331.0,11.0,66.77106
14,852,3,91.47888,10480_RDW,26,3525,296.0,3.0,65.136154
15,924,2,88.019325,10480_RDW,26,3525,351.0,2.0,61.07202
16,922,9,84.82146,10480_RDW,26,3525,362.0,8.0,57.2721
17,865,6,89.80826,10480_RDW,26,3525,326.0,6.0,64.68709
18,763,1,96.87399,10480_RDW,26,3525,285.0,1.0,74.97544
19,685,0,95.678925,10480_RDW,26,3525,280.0,0.0,72.65664
20,865,2,91.262054,10480_RDW,26,3525,306.0,2.0,65.64552
21,904,0,92.02909,10480_RDW,26,3525,322.0,0.0,67.845375
22,1070,0,83.37808,10480_RDW,26,3525,308.0,0.0,73.60555
23,1119,1,81.6345,10480_RDW,26,3525,269.0,1.0,75.31349
24,1059,7,77.64529,10480_RDW,26,3525,306.0,5.0,65.74869
25,957,0,82.03033,10480_RDW,26,3525,252.0,0.0,73.85944
26,1057,16,72.83791,10480_RDW,26,3525,333.0,8.0,57.265316
27,1023,1,79.44694,10480_RDW,26,3525,302.0,1.0,67.30669
28,1206,8,74.33848,10480_RDW,26,3525,372.0,8.0,58.089813
29,1062,13,73.2436,10480_RDW,26,3525,353.0,11.0,57.76915
30,1076,6,78.21149,10480_RDW,26,3525,295.0,6.0,64.540276
31,848,0,89.311806,10480_RDW,26,3525,269.0,0.0,74.86929
32,1032,1,79.9654,10480_RDW,26,3525,327.0,1.0,63.4689
33,955,2,88.9831,10480_RDW,26,3525,282.0,2.0,76.23645
34,925,9,96.002304,10480_RDW,26,3525,285.0,9.0,71.57772
