win,rows,stopped,mean_spd,zone,link,center,rows_L1,stopped_L1,spd_L1
0,126,0,120.799286,10480_RDW,26,3525,48,0,120.20438
1,708,1,109.67343,10480_RDW,26,3525,239,1,97.50716
2,919,17,85.54338,10480_RDW,26,3525,309,5,71.705376
3,945,2,96.36108,10480_RDW,26,3525,303,1,79.057396
4,1005,23,86.02457,10480_RDW,26,3525,373,16,70.12491
5,1078,9,83.683975,10480_RDW,26,3525,388,9,57.675926
6,1004,20,87.767494,10480_RDW,26,3525,345,11,70.78246
7,1073,4,87.02542,10480_RDW,26,3525,380,4,64.3554
8,1132,21,76.97486,10480_RDW,26,3525,395,17,55.121616
9,1000,17,77.81743,10480_RDW,26,3525,430,17,51.157627
10,1181,29,77.37876,10480_RDW,26,3525,460,28,47.99517
11,1039,9,83.25801,10480_RDW,26,3525,354,8,64.12664
12,914,5,93.063736,10480_RDW,26,3525,328,5,71.11439
13,1462,162,57.350014,10480_RDW,26,3525,660,160,28.214682
14,1191,150,68.567085,10480_RDW,26,3525,549,145,37.423954
15,1707,689,38.43437,10480_RDW,26,3525,1101,685,12.285695
16,1654,503,44.404404,10480_RDW,26,3525,1002,499,15.805459
17,1558,565,41.55185,10480_RDW,26,3525,1011,563,15.145746
18,1550,554,40.06716,10480_RDW,26,3525,1007,551,14.603952
19,1104,148,56.251377,10480_RDW,26,3525,622,147,28.819616
20,1170,193,53.128494,10480_RDW,26,3525,664,191,24.809067
21,1069,139,58.133312,10480_RDW,26,3525,558,138,32.536503
22,1164,184,65.504745,10480_RDW,26,3525,569,179,31.5113
23,1738,545,42.9388,10480_RDW,26,3525,983,541,15.973255
24,1308,128,62.481724,10480_RDW,26,3525,624,128,31.842306
25,1458,373,50.78321,10480_RDW,26,3525,823,372,19.458967
26,1270,270,54.849796,10480_RDW,26,3525,692,269,24.015507
27,1380,341,51.000004,10480_RDW,26,3525,810,338,20.865507
28,1191,270,59.63472,10480_RDW,26,3525,670,270,25.97724
29,1547,516,40.50712,10480_RDW,26,3525,985,514,13.882051
30,1459,316,48.393547,10480_RDW,26,3525,802,310,19.011272
31,1186,178,59.468296,10480_RDW,26,3525,599,168,32.955444
32,1158,209,58.770947,10480_RDW,26,3525,629,208,29.299442
33,1350,471,48.328106,10480_RDW,26,3525,857,471,17.773302
34,1580,504,48.179672,10480_RDW,26,3525,905,503,18.75063
35,1341,381,49.92921,10480_RDW,26,3525,794,379,21.924583
0,83,0,119.48988,10482_RDW,26,3830,20,0,125.889
1,748,1,88.98836,10482_RDW,26,3830,180,1,69.44361
2,797,0,88.484856,10482_RDW,26,3830,202,0,77.73089
3,879,4,90.01482,10482_RDW,26,3830,195,3,67.152466
4,1015,20,74.18679,10482_RDW,26,3830,287,12,51.97554
5,1026,0,80.25256,10482_RDW,26,3830,277,0,57.318157
6,936,16,81.293335,10482_RDW,26,3830,260,8,56.787537
7,1136,6,75.424835,10482_RDW,26,3830,306,5,54.10709
8,1153,13,70.04345,10482_RDW,26,3830,303,5,52.29056
9,893,8,78.40566,10482_RDW,26,3830,233,8,48.100384
10,1248,14,67.27776,10482_RDW,26,3830,337,11,51.895638
11,1037,3,77.066666,10482_RDW,26,3830,262,3,55.93244
12,926,2,81.194496,10482_RDW,26,3830,243,2,60.697075
13,1362,110,58.218525,10482_RDW,26,3830,457,108,33.624485
14,1292,147,62.47689,10482_RDW,26,3830,481,142,30.095613
15,1150,255,56.524025,10482_RDW,26,3830,514,254,22.713657
16,1258,227,55.90964,10482_RDW,26,3830,523,225,22.93155
17,1240,241,53.870735,10482_RDW,26,3830,523,237,22.427668
18,1086,233,54.3716,10482_RDW,26,3830,484,225,20.43597
19,895,73,64.824104,10482_RDW,26,3830,319,73,34.50075
20,893,144,61.55373,10482_RDW,26,3830,350,143,22.948973
21,976,103,58.410873,10482_RDW,26,3830,313,103,26.603802
22,1081,173,63.804573,10482_RDW,26,3830,416,173,28.38625
23,1222,271,55.027355,10482_RDW,26,3830,546,271,22.018955
24,1285,98,63.30609,10482_RDW,26,3830,465,97,34.344753
25,1186,218,59.831043,10482_RDW,26,3830,494,217,26.376316
26,1062,190,58.873974,10482_RDW,26,3830,419,189,22.809834
27,1042,188,59.90479,10482_RDW,26,3830,428,185,25.369814
28,946,194,67.23262,10482_RDW,26,3830,388,194,25.043016
29,1005,240,56.392998,10482_RDW,26,3830,457,238,19.64746
30,1105,148,62.870354,10482_RDW,26,3830,389,144,28.72604
31,955,145,61.398563,10482_RDW,26,3830,363,135,26.276365
32,1042,169,59.0778,10482_RDW,26,3830,408,168,23.433088
33,930,200,64.89528,10482_RDW,26,3830,397,200,24.35199
34,1061,196,63.30032,10482_RDW,26,3830,429,196,28.570187
35,873,211,64.99168,10482_RDW,26,3830,376,211,24.029894
1,246,0,120.47817,10646_RFW,26,6073,63,0,119.09571
2,490,1,111.9113,10646_RFW,26,6073,118,0,106.107544
3,669,8,92.71603,10646_RFW,26,6073,159,4,74.75578
4,669,0,98.61805,10646_RFW,26,6073,182,0,93.05005
5,705,28,89.360435,10646_RFW,26,6073,198,1,74.583084
6,875,24,78.414215,10646_RFW,26,6073,207,1,68.83884
7,704,0,99.56367,10646_RFW,26,6073,184,0,80.46016
8,831,0,92.962364,10646_RFW,26,6073,219,0,75.429405
9,740,3,105.84996,10646_RFW,26,6073,190,1,95.317
10,579,2,98.14052,10646_RFW,26,6073,147,0,80.28523
11,796,0,93.5927,10646_RFW,26,6073,188,0,71.68351
12,691,0,99.49355,10646_RFW,26,6073,197,0,81.57122
13,667,5,95.24021,10646_RFW,26,6073,193,3,82.6172
14,822,16,84.81965,10646_RFW,26,6073,206,2,66.09991
15,743,2,89.2585,10646_RFW,26,6073,197,1,71.365074
16,670,3,97.84722,10646_RFW,26,6073,172,2,76.49558
17,643,0,96.63991,10646_RFW,26,6073,162,0,76.21624
18,710,10,84.43076,10646_RFW,26,6073,200,1,72.77575
19,550,0,102.467995,10646_RFW,26,6073,149,0,83.174164
20,464,0,103.64278,10646_RFW,26,6073,122,0,80.38967
21,491,1,97.23271,10646_RFW,26,6073,140,1,72.904854
22,626,1,89.15136,10646_RFW,26,6073,199,0,70.03955
23,617,0,96.346176,10646_RFW,26,6073,174,0,81.849655
24,756,2,93.1712,10646_RFW,26,6073,191,0,74.82529
25,619,2,98.41428,10646_RFW,26,6073,168,0,81.55416
26,679,12,87.54013,10646_RFW,26,6073,220,12,65.73986
27,590,2,94.428085,10646_RFW,26,6073,154,0,75.73338
28,598,2,99.647,10646_RFW,26,6073,141,0,73.46142
29,521,4,99.448425,10646_RFW,26,6073,140,0,76.40629
