link,win,rows,stopped,veh_h,stop_veh_h,mean_spd
1,1,8,0,0.011111111111111112,0.0,71.00250244140625
1,2,15,0,0.020833333333333332,0.0,83.05066731770833
1,3,18,0,0.025,0.0,61.67277696397569
1,4,13,0,0.018055555555555554,0.0,68.42692213792067
1,5,22,0,0.030555555555555555,0.0,51.09363902698863
1,6,14,0,0.019444444444444445,0.0,66.20714460100446
1,7,31,0,0.043055555555555555,0.0,51.940323368195564
1,8,37,0,0.05138888888888889,0.0,53.802971917229726
1,9,33,0,0.04583333333333333,0.0,52.852121064157195
1,10,24,0,0.03333333333333333,0.0,61.79374694824219
1,11,22,0,0.030555555555555555,0.0,58.21590909090909
1,12,30,0,0.041666666666666664,0.0,64.73599853515626
1,13,49,0,0.06805555555555555,0.0,53.62652961575255
1,14,14,0,0.019444444444444445,0.0,68.50357055664062
1,15,37,0,0.05138888888888889,0.0,59.05675939611486
1,16,40,0,0.05555555555555555,0.0,58.741998291015626
1,17,29,0,0.04027777777777778,0.0,54.597584691540945
1,18,24,0,0.03333333333333333,0.0,72.3125
1,19,41,0,0.05694444444444444,0.0,51.28097608612805
1,20,39,0,0.05416666666666667,0.0,60.11307466947115
1,21,28,0,0.03888888888888889,0.0,54.22035871233259
1,22,32,0,0.044444444444444446,0.0,63.083438873291016
1,23,21,0,0.029166666666666667,0.0,64.53476097470238
1,24,32,0,0.044444444444444446,0.0,51.76906204223633
1,25,33,0,0.04583333333333333,0.0,50.09969815340909
1,26,39,0,0.05416666666666667,0.0,58.78256460336539
1,27,27,0,0.0375,0.0,58.059629087094905
1,28,29,0,0.04027777777777778,0.0,53.30965449892241
1,29,13,0,0.018055555555555554,0.0,62.80384709284856
1,30,36,0,0.05,0.0,53.78083292643229
1,31,26,0,0.03611111111111111,0.0,62.01192063551683
1,32,17,0,0.02361111111111111,0.0,58.09647144990809
1,33,32,0,0.044444444444444446,0.0,53.139373779296875
1,34,36,0,0.05,0.0,52.53166707356771
1,35,29,0,0.04027777777777778,0.0,53.653791756465516
2,0,405,0,0.5625,0.0,119.96975308641976
2,1,4045,4,5.618055555555555,0.005555555555555556,109.2007957354759
2,2,5712,32,7.933333333333334,0.044444444444444446,101.37911414565826
2,3,5779,107,8.026388888888889,0.1486111111111111,101.49649593355252
2,4,5257,60,7.301388888888889,0.08333333333333333,106.80225175955869
2,5,6057,58,8.4125,0.08055555555555556,100.7603908700677
2,6,6623,152,9.198611111111111,0.2111111111111111,92.37010229503247
2,7,8140,367,11.305555555555555,0.5097222222222222,87.99851812039311
2,8,10196,799,14.161111111111111,1.1097222222222223,70.59762406826206
2,9,11338,1919,15.747222222222222,2.665277777777778,52.52039601340624
2,10,13795,2582,19.15972222222222,3.5861111111111112,40.36653225806452
2,11,15520,3738,21.555555555555557,5.191666666666666,33.92929284793814
2,12,16914,5251,23.491666666666667,7.293055555555555,28.406375635568168
2,13,18794,6673,26.102777777777778,9.268055555555556,24.850287990848145
2,14,20421,8047,28.3625,11.176388888888889,20.923621823123256
2,15,21778,9423,30.247222222222224,13.0875,19.961748955367803
2,16,23568,10952,32.733333333333334,15.21111111111111,18.088796249151393
2,17,25152,13292,34.93333333333333,18.461111111111112,14.397730548266539
2,18,26673,14805,37.045833333333334,20.5625,14.139573491920668
2,19,27400,15577,38.05555555555556,21.634722222222223,13.45842609489051
2,20,27778,16225,38.580555555555556,22.53472222222222,12.127559354525165
2,21,27831,16012,38.65416666666667,22.238888888888887,12.605089648233983
2,22,27932,16094,38.794444444444444,22.352777777777778,12.725198696835172
2,23,27864,15923,38.7,22.115277777777777,12.829194928940568
2,24,26964,14564,37.45,20.227777777777778,14.239956516095535
2,25,27390,14454,38.041666666666664,20.075,14.419153888280395
2,26,27538,14464,38.24722222222222,20.08888888888889,14.882392058246786
2,27,27712,14832,38.48888888888889,20.6,14.02505796225462
2,28,29038,15950,40.330555555555556,22.15277777777778,13.430328362834906
2,29,29808,16622,41.4,23.086111111111112,12.552101155730005
2,30,30603,17109,42.50416666666667,23.7625,12.956572885011273
2,31,31453,17797,43.68472222222222,24.718055555555555,12.272887323943662
2,32,31858,18404,44.24722222222222,25.56111111111111,10.97989810251742
2,33,31742,17933,44.08611111111111,24.906944444444445,12.748994825467834
