scenario,sec,total_vph,urban_vph,freeway_vph,total_vs_peak_pct
original,0,16461.76,10301.76,6160.0,66.667
original,900,23516.8,14716.8,8800.0,95.238
original,1800,24692.64,15452.64,9240.0,100.0
original,2700,21165.12,13245.12,7920.0,85.714
original,3600,16461.76,10301.76,6160.0,66.667
original,4500,11758.4,7358.4,4400.0,47.619
peakhold_recovery,0,16461.76,10301.76,6160.0,66.667
peakhold_recovery,900,23516.8,14716.8,8800.0,95.238
peakhold_recovery,1800,24692.64,15452.64,9240.0,100.0
peakhold_recovery,2700,24692.64,15452.64,9240.0,100.0
peakhold_recovery,3600,24692.64,15452.64,9240.0,100.0
peakhold_recovery,4500,21165.12,13245.12,7920.0,85.714
peakhold_recovery,5400,16461.76,10301.76,6160.0,66.667
peakhold_recovery,6300,11758.4,7358.4,4400.0,47.619
