link,peak_n,peak_n_sec,peak_stopped,peak_stopped_sec,last_window_start_sec,last_window_start_n,final_n,final_stopped,last_window_normal_exit_minus_entry,last_window_absent,last_window_native_removal,interpretation
2,744,3951,292,3980,8100,86,73,0,13,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
40,45,4247,33,1999,8100,1,12,8,-11,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
66,56,3629,29,3789,8100,12,21,4,-9,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
68,17,2647,4,1494,8100,0,1,0,-1,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
69,51,1582,1,2769,8100,14,12,0,2,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
70,14,7553,0,0,8100,1,1,0,0,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
71,33,2476,30,2025,8100,1,5,4,-4,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
121,23,2661,7,3141,8100,5,3,0,2,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
123,54,4120,0,0,8100,30,17,0,-336,349,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
127,197,3377,158,3225,8100,13,5,2,8,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
321,30,3143,15,3146,8100,1,0,0,1,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
322,46,4218,41,4534,8100,10,11,0,-1,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
325,46,3950,41,5539,8100,19,14,14,5,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
326,67,5033,64,5046,8100,39,29,28,10,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
329,60,4543,57,4543,8100,28,17,7,-5,16,16,Stock decline is not recovery proof when losses contribute; final state remains censored.
10639,8,3168,6,3203,8100,0,0,0,0,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
10681,9,2215,0,0,8100,0,0,0,0,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
10682,25,1983,12,1505,8100,1,1,0,0,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
10643,16,5928,13,5944,8100,1,2,0,-1,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
10646,14,7193,3,6755,8100,8,9,0,-1,0,0,Stock decline is not recovery proof when losses contribute; final state remains censored.
