object_type,category,name,sc_no,sg_no,link,lane,pos,purpose
"signalGroup","signal_group","SG_A_MAJOR","1","1","","","","Signal group for later fixed-time/adaptive control"
"signalGroup","signal_group","SG_A_MINOR","1","2","","","","Signal group for later fixed-time/adaptive control"
"signalHead","intersection_major","EVAL_SH_A_L1_LN1","1","1","1","1","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_A_L1_LN2","1","1","1","2","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_A_L6_LN1","1","1","6","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_A_L6_LN2","1","1","6","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_A_L3_LN1","1","2","3","1","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_A_L3_LN2","1","2","3","2","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_A_L8_LN1","1","2","8","1","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_A_L8_LN2","1","2","8","2","426.014","Minor/ramp-axis stop-line signal head"
"signalGroup","signal_group","SG_B_MAJOR","2","1","","","","Signal group for later fixed-time/adaptive control"
"signalGroup","signal_group","SG_B_MINOR","2","2","","","","Signal group for later fixed-time/adaptive control"
"signalHead","intersection_major","EVAL_SH_B_L5_LN1","2","1","5","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_B_L5_LN2","2","1","5","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_B_L12_LN1","2","1","12","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_B_L12_LN2","2","1","12","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_B_L9_LN1","2","2","9","1","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_B_L9_LN2","2","2","9","2","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_B_L14_LN1","2","2","14","1","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_B_L14_LN2","2","2","14","2","426.014","Minor/ramp-axis stop-line signal head"
"signalGroup","signal_group","SG_C_MAJOR","3","1","","","","Signal group for later fixed-time/adaptive control"
"signalGroup","signal_group","SG_C_MINOR","3","2","","","","Signal group for later fixed-time/adaptive control"
"signalHead","intersection_major","EVAL_SH_C_L11_LN1","3","1","11","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_C_L11_LN2","3","1","11","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_C_L18_LN1","3","1","18","1","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_C_L18_LN2","3","1","18","2","478.000","Major-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_C_L15_LN1","3","2","15","1","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_C_L15_LN2","3","2","15","2","438.000","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_C_L20_LN1","3","2","20","1","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_C_L20_LN2","3","2","20","2","426.014","Minor/ramp-axis stop-line signal head"
"signalGroup","signal_group","SG_D_MAJOR","4","1","","","","Signal group for later fixed-time/adaptive control"
"signalGroup","signal_group","SG_D_MINOR","4","2","","","","Signal group for later fixed-time/adaptive control"
"signalHead","intersection_major","EVAL_SH_D_L21_LN1","4","1","21","1","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_D_L21_LN2","4","1","21","2","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_D_L24_LN1","4","1","24","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_D_L24_LN2","4","1","24","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_D_L7_LN1","4","2","7","1","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_D_L7_LN2","4","2","7","2","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_D_L26_LN1","4","2","26","1","180.883","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_D_L26_LN2","4","2","26","2","180.883","Minor/ramp-axis stop-line signal head"
"signalGroup","signal_group","SG_F_MAJOR","5","1","","","","Signal group for later fixed-time/adaptive control"
"signalGroup","signal_group","SG_F_MINOR","5","2","","","","Signal group for later fixed-time/adaptive control"
"signalHead","intersection_major","EVAL_SH_F_L27_LN1","5","1","27","1","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_F_L27_LN2","5","1","27","2","526.011","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_F_L30_LN1","5","1","30","1","478.000","Major-axis stop-line signal head"
"signalHead","intersection_major","EVAL_SH_F_L30_LN2","5","1","30","2","478.000","Major-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_F_L19_LN1","5","2","19","1","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_F_L19_LN2","5","2","19","2","426.014","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_F_L32_LN1","5","2","32","1","276.326","Minor/ramp-axis stop-line signal head"
"signalHead","intersection_minor","EVAL_SH_F_L32_LN2","5","2","32","2","276.326","Minor/ramp-axis stop-line signal head"
"signalGroup","signal_group","SG_RM_D","6","1","","","","Signal group for later fixed-time/adaptive control"
"signalHead","ramp_meter","EVAL_SH_RM_D_L25_LN1","6","1","25","1","160.883","D on-ramp metering signal head"
"signalHead","ramp_meter","EVAL_SH_RM_D_L25_LN2","6","1","25","2","160.883","D on-ramp metering signal head"
"signalGroup","signal_group","SG_RM_F","7","1","","","","Signal group for later fixed-time/adaptive control"
"signalHead","ramp_meter","EVAL_SH_RM_F_L31_LN1","7","1","31","1","256.326","F on-ramp metering signal head"
"signalHead","ramp_meter","EVAL_SH_RM_F_L31_LN2","7","1","31","2","256.326","F on-ramp metering signal head"
"signalController","disabled_pending_timing","EVAL_SC_A","1","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_B","2","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_C","3","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_D","4","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_F","5","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_RM_D","6","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
"signalController","disabled_pending_timing","EVAL_SC_RM_F","7","","","","","Installed signal heads are disabled until fixed-time/controller timing is configured"
