link,bin,seg,lane,rows,stopped,mean_speed,nveh
30,450,500,2,32,31,0.521875,4
30,450,500,3,54,48,3.974074,7
30,450,500,4,43,36,6.3904653,7
30,600,0,1,18,0,58.824444,16
30,600,0,2,14,0,60.642143,14
30,600,0,3,20,0,56.1555,17
30,600,0,4,10,0,55.421997,9
30,600,100,1,31,0,56.45032,22
30,600,100,2,11,0,66.50727,10
30,600,100,3,6,0,74.655,6
30,600,100,4,13,0,58.674618,10
30,600,200,1,31,0,60.946774,24
30,600,200,2,8,0,70.18625,8
30,600,200,3,5,0,77.556,5
30,600,200,4,13,0,55.43846,10
30,600,300,1,36,0,57.696945,28
30,600,300,2,5,0,70.596,4
30,600,300,3,7,0,90.53715,7
30,600,300,4,14,0,39.193573,8
30,600,400,1,43,0,48.90581,27
30,600,400,2,4,0,48.182503,3
30,600,400,3,10,2,35.423,7
30,600,400,4,9,0,48.036667,7
30,600,500,1,8,0,38.3575,8
30,600,500,2,65,60,1.5801538,6
30,600,500,3,90,85,0.9076666,9
30,600,500,4,26,24,1.985,2
30,750,0,1,13,0,64.59231,13
30,750,0,2,15,0,68.169334,15
30,750,0,3,17,0,63.619415,16
30,750,0,4,7,0,61.06429,7
30,750,100,1,18,0,63.38278,14
30,750,100,2,13,0,76.73154,12
30,750,100,3,7,0,87.19,7
30,750,100,4,2,0,88.0,2
30,750,200,1,22,0,89.26409,22
30,750,200,2,4,0,85.64,4
30,750,200,3,2,0,89.435,2
30,750,200,4,3,0,78.613335,3
30,750,300,1,31,0,69.58774,29
30,750,300,2,5,0,86.19,5
30,750,300,3,4,0,104.4275,4
30,750,300,4,6,0,64.67,4
30,750,400,1,43,0,58.594887,34
30,750,400,2,15,8,27.595333,6
30,750,400,3,4,0,78.12,4
30,750,400,4,149,129,3.6267786,9
30,750,500,1,12,0,60.11333,12
30,750,500,2,47,46,0.5529787,3
30,750,500,3,83,79,2.0516868,7
30,750,500,4,107,99,2.215047,8
30,900,0,1,21,0,54.439045,21
30,900,0,2,35,0,58.229717,33
30,900,0,3,28,0,58.12107,26
30,900,0,4,6,0,62.986664,6
30,900,100,1,54,0,48.92537,37
30,900,100,2,25,0,61.9492,22
30,900,100,3,17,0,71.29765,16
30,900,100,4,7,0,87.505714,7
30,900,200,1,59,0,42.258816,37
30,900,200,2,27,0,58.526295,21
30,900,200,3,11,0,80.93455,11
30,900,200,4,7,0,97.884285,7
30,900,300,1,71,4,39.921124,39
30,900,300,2,18,0,51.27889,13
30,900,300,3,8,0,78.27125,8
30,900,300,4,5,0,95.07,5
30,900,400,1,66,2,34.472878,32
30,900,400,2,28,4,35.642857,14
30,900,400,3,12,0,60.748333,9
30,900,400,4,8,0,62.06125,6
30,900,500,1,18,2,35.156113,16
30,900,500,2,25,19,8.3672,7
30,900,500,3,33,27,6.3621216,7
30,900,500,4,44,36,5.2663636,6
30,1050,0,1,24,0,56.757084,22
30,1050,0,2,30,0,58.179,27
30,1050,0,3,34,0,55.61647,29
30,1050,0,4,15,0,56.778004,13
30,1050,100,1,42,0,52.445236,31
30,1050,100,2,27,0,64.03482,25
30,1050,100,3,11,0,70.94182,11
30,1050,100,4,11,0,61.01,9
30,1050,200,1,73,4,34.57397,39
30,1050,200,2,29,0,61.33759,25
30,1050,200,3,11,0,76.90091,10
30,1050,200,4,14,0,69.15929,11
30,1050,300,1,149,21,18.80161,45
30,1050,300,2,33,0,44.19909,22
30,1050,300,3,8,0,84.96625,7
30,1050,300,4,15,0,65.71067,12
30,1050,400,1,217,46,14.650046,51
30,1050,400,2,45,12,20.95,18
30,1050,400,3,35,25,14.9917145,9
30,1050,400,4,27,1,38.712593,15
30,1050,500,1,48,5,18.988958,36
30,1050,500,2,54,31,6.2064815,15
30,1050,500,3,69,63,1.8275363,9
30,1050,500,4,29,18,8.906897,9
30,1200,0,1,22,0,59.740456,22
30,1200,0,2,23,0,64.474785,21
30,1200,0,3,23,0,67.8687,21
30,1200,0,4,7,0,71.69143,7
30,1200,100,1,40,0,52.677753,29
30,1200,100,2,25,0,66.016,23
30,1200,100,3,13,0,77.58385,13
30,1200,100,4,2,0,71.085,2
30,1200,200,1,62,0,43.51242,38
30,1200,200,2,25,0,62.427998,20
30,1200,200,3,14,0,73.50857,11
30,1200,200,4,4,0,86.6775,4
30,1200,300,1,80,1,37.558624,42
30,1200,300,2,24,0,60.0525,20
30,1200,300,3,14,0,81.78571,13
30,1200,300,4,4,0,72.7825,4
30,1200,400,1,116,12,28.09776,46
30,1200,400,2,30,0,41.488,19
30,1200,400,3,15,0,46.472,10
30,1200,400,4,7,0,44.25,5
30,1200,500,1,29,1,29.788275,26
30,1200,500,2,38,24,11.040263,13
30,1200,500,3,47,42,8.29234,8
30,1200,500,4,9,5,6.83,3
30,1350,0,1,22,0,55.97909,19
30,1350,0,2,33,0,56.17788,29
30,1350,0,3,26,0,59.02346,24
30,1350,0,4,8,0,63.161247,8
30,1350,100,1,48,0,47.37125,32
30,1350,100,2,22,0,65.7309,20
30,1350,100,3,10,0,74.371,10
30,1350,100,4,7,0,80.10285,7
30,1350,200,1,47,0,49.16319,33
30,1350,200,2,20,0,64.233,17
30,1350,200,3,10,0,83.029,10
30,1350,200,4,9,0,91.38111,9
30,1350,300,1,58,2,43.53293,38
30,1350,300,2,17,0,66.62882,14
30,1350,300,3,3,0,85.38999,3
30,1350,300,4,8,0,77.80875,8
30,1350,400,1,79,2,35.409748,43
30,1350,400,2,52,31,14.951731,15
30,1350,400,3,20,16,15.498999,5
30,1350,400,4,37,23,15.437027,11
30,1350,500,1,29,5,25.922413,24
30,1350,500,2,37,27,10.592432,12
30,1350,500,3,34,27,3.7102942,7
30,1350,500,4,88,81,2.2554545,9
30,1500,0,1,19,0,58.997364,19
30,1500,0,2,29,0,57.673103,28
30,1500,0,3,26,0,62.372696,23
30,1500,0,4,8,0,67.13125,8
30,1500,100,1,50,0,44.0892,31
30,1500,100,2,33,0,58.18697,25
30,1500,100,3,8,0,65.21125,8
30,1500,100,4,6,0,89.46,6
30,1500,200,1,75,0,38.780533,41
30,1500,200,2,18,0,46.02111,14
30,1500,200,3,9,0,61.172222,8
30,1500,200,4,9,0,87.43,9
30,1500,300,1,122,27,24.81582,47
30,1500,300,2,20,0,44.929,14
30,1500,300,3,7,0,70.115715,6
30,1500,300,4,9,0,83.62333,9
30,1500,400,1,148,26,23.575136,52
30,1500,400,2,21,0,36.53476,12
30,1500,400,3,3,0,63.406666,3
30,1500,400,4,23,5,36.20087,12
30,1500,500,1,31,1,28.275162,27
30,1500,500,2,27,16,7.1844444,9
30,1500,500,3,52,47,3.8376923,5
30,1500,500,4,40,33,4.62575,6
30,1650,0,1,37,0,44.825134,30
30,1650,0,2,37,0,45.517838,32
30,1650,0,3,30,0,46.09,25
30,1650,0,4,11,0,48.278183,9
30,1650,100,1,60,0,37.563835,36
30,1650,100,2,39,0,38.70692,23
30,1650,100,3,17,0,60.147648,15
30,1650,100,4,8,0,60.541252,7
30,1650,200,1,69,0,34.01594,36
30,1650,200,2,20,0,44.693,15
30,1650,200,3,13,0,69.34308,12
30,1650,200,4,7,0,68.37857,6
30,1650,300,1,114,3,23.529036,41
30,1650,300,2,18,0,54.16611,14
30,1650,300,3,10,0,70.433,9
30,1650,300,4,11,0,69.90818,9
30,1650,400,1,141,7,20.780212,45
30,1650,400,2,20,0,36.579502,12
30,1650,400,3,13,0,59.800766,11
30,1650,400,4,20,3,35.5665,9
30,1650,500,1,27,0,22.324074,24
30,1650,500,2,16,4,17.571875,12
30,1650,500,3,55,50,2.8112726,7
30,1650,500,4,12,7,10.053333,4
30,1800,0,1,24,0,56.226665,23
30,1800,0,2,35,0,51.047142,32
30,1800,0,3,33,0,51.079697,24
30,1800,0,4,10,0,60.034996,9
30,1800,100,1,56,0,48.58518,40
30,1800,100,2,25,0,64.572,23
30,1800,100,3,12,0,65.9625,11
30,1800,100,4,12,0,68.276665,10
30,1800,200,1,77,1,38.817142,46
30,1800,200,2,19,0,61.363686,17
30,1800,200,3,14,0,79.90929,13
30,1800,200,4,9,0,64.814445,7
30,1800,300,1,95,3,35.88179,50
30,1800,300,2,20,0,57.558002,15
30,1800,300,3,6,0,91.62333,6
30,1800,300,4,8,0,68.53125,8
30,1800,400,1,113,5,30.646194,55
30,1800,400,2,20,0,49.7025,15
30,1800,400,3,10,0,73.832,9
30,1800,400,4,14,1,43.16357,9
30,1800,500,1,27,1,33.469257,26
30,1800,500,2,79,65,2.7488608,13
30,1800,500,3,68,62,4.0751467,8
30,1800,500,4,28,19,7.2489285,7
30,1950,0,1,19,0,57.508423,18
30,1950,0,2,33,0,67.45091,32
30,1950,0,3,27,0,65.33815,24
30,1950,0,4,11,0,53.24909,9
30,1950,100,1,46,0,52.27087,31
30,1950,100,2,28,0,59.63393,24
30,1950,100,3,13,0,75.91692,13
30,1950,100,4,9,0,59.843338,7
30,1950,200,1,58,0,51.979656,41
30,1950,200,2,23,0,55.77348,19
30,1950,200,3,15,0,87.321335,15
30,1950,200,4,11,0,70.93273,9
30,1950,300,1,95,22,31.664736,43
30,1950,300,2,29,0,53.897587,23
30,1950,300,3,11,0,85.145454,11
30,1950,300,4,10,0,59.601,7
30,1950,400,1,78,3,42.825512,48
30,1950,400,2,23,0,53.18609,18
30,1950,400,3,16,0,62.673126,13
30,1950,400,4,12,0,54.851665,9
30,1950,500,1,23,0,50.509563,23
30,1950,500,2,61,52,3.5316396,9
30,1950,500,3,69,64,1.9826088,9
30,1950,500,4,47,40,5.094255,7
30,2100,0,1,18,0,62.85833,16
30,2100,0,2,31,0,66.03161,30
30,2100,0,3,27,0,65.14407,27
30,2100,0,4,13,0,65.78769,13
30,2100,100,1,36,0,69.318886,33
30,2100,100,2,10,0,73.021996,10
30,2100,100,3,16,0,71.52625,14
30,2100,100,4,14,0,65.71642,11
30,2100,200,1,44,0,58.032955,38
30,2100,200,2,11,0,89.226364,11
30,2100,200,3,10,0,82.656,9
30,2100,200,4,15,0,59.488667,11
30,2100,300,1,79,7,36.536453,43
30,2100,300,2,14,0,79.954285,14
30,2100,300,3,7,0,92.46285,7
30,2100,300,4,20,0,64.438,15
30,2100,400,1,144,14,20.989374,46
30,2100,400,2,22,3,34.2,12
30,2100,400,3,9,0,78.06111,9
30,2100,400,4,29,6,32.313103,15
30,2100,500,1,38,3,18.969212,31
30,2100,500,2,51,37,3.615098,16
30,2100,500,3,66,63,2.4734848,8
30,2100,500,4,39,28,6.5810256,9
30,2250,0,1,19,0,60.183685,19
30,2250,0,2,31,0,64.453224,31
30,2250,0,3,20,0,58.419502,18
30,2250,0,4,11,0,63.64545,11
30,2250,100,1,43,0,60.82256,35
30,2250,100,2,17,0,81.264114,17
30,2250,100,3,14,0,79.04,14
30,2250,100,4,8,0,65.1225,6
30,2250,200,1,51,0,58.25333,40
30,2250,200,2,12,0,85.505005,12
30,2250,200,3,9,0,86.07333,9
30,2250,200,4,6,0,82.67167,6
30,2250,300,1,84,5,33.065594,43
30,2250,300,2,12,0,84.44833,12
30,2250,300,3,5,0,85.46,5
30,2250,300,4,6,0,74.253334,5
30,2250,400,1,123,2,25.020733,46
30,2250,400,2,12,1,48.899998,9
30,2250,400,3,10,0,77.891,9
30,2250,400,4,21,9,26.51238,9
30,2250,500,1,25,0,29.9276,24
30,2250,500,2,38,24,4.6123686,8
30,2250,500,3,39,35,5.1348715,6
30,2250,500,4,98,93,1.3763266,6
30,2400,0,1,35,0,43.986,28
30,2400,0,2,29,0,49.18207,25
30,2400,0,3,40,0,47.27,30
30,2400,0,4,10,0,56.616997,10
30,2400,100,1,57,0,41.305435,36
30,2400,100,2,29,0,52.258274,22
30,2400,100,3,21,0,52.445236,16
30,2400,100,4,9,0,69.01444,8
30,2400,200,1,78,2,34.492306,42
30,2400,200,2,19,0,51.90158,16
30,2400,200,3,14,0,57.72643,11
30,2400,200,4,11,0,66.83,10
30,2400,300,1,74,0,43.484997,45
30,2400,300,2,13,0,49.901535,10
30,2400,300,3,8,0,58.1525,7
30,2400,300,4,11,0,60.633633,8
30,2400,400,1,78,0,41.07731,45
30,2400,400,2,8,0,57.97625,8
30,2400,400,3,10,0,46.086,7
30,2400,400,4,15,0,52.046,10
30,2400,500,1,20,0,44.3345,20
30,2400,500,2,42,37,2.3073812,5
30,2400,500,3,50,44,1.9828,6
30,2400,500,4,52,46,2.3676922,5
30,2550,0,1,20,0,56.234997,18
30,2550,0,2,29,0,55.78,26
30,2550,0,3,29,0,63.66069,24
30,2550,0,4,9,0,65.23111,9
30,2550,100,1,41,1,48.79927,30
30,2550,100,2,16,0,73.61188,16
30,2550,100,3,16,0,78.38,16
30,2550,100,4,15,0,79.72,13
30,2550,200,1,61,1,44.887867,38
30,2550,200,2,16,0,60.03875,14
30,2550,200,3,11,0,78.02909,10
30,2550,200,4,10,0,78.762,10
30,2550,300,1,69,0,47.50174,46
30,2550,300,2,15,0,63.398666,12
30,2550,300,3,9,0,79.38111,9
30,2550,300,4,11,0,74.560905,11
30,2550,400,1,83,0,42.78494,49
30,2550,400,2,13,0,60.853073,11
30,2550,400,3,8,0,57.954998,7
30,2550,400,4,67,38,14.718358,14
30,2550,500,1,28,1,44.72036,27
30,2550,500,2,42,32,3.8088095,9
30,2550,500,3,53,48,1.0020754,7
30,2550,500,4,132,122,2.0153787,10
30,2700,0,1,20,0,57.309998,20
30,2700,0,2,23,0,59.698265,21
30,2700,0,3,30,0,56.368336,28
30,2700,0,4,12,0,58.923336,12
30,2700,100,1,49,0,50.72306,35
30,2700,100,2,17,0,57.70765,14
30,2700,100,3,13,0,70.85307,13
30,2700,100,4,19,0,60.01632,14
30,2700,200,1,63,0,45.6473,43
30,2700,200,2,16,0,55.37125,14
30,2700,200,3,10,0,77.35,9
30,2700,200,4,17,0,64.50236,14
30,2700,300,1,84,7,33.9806,43
30,2700,300,2,13,0,48.45846,11
30,2700,300,3,9,0,78.86222,9
30,2700,300,4,15,0,57.552002,13
30,2700,400,1,107,17,22.537195,38
30,2700,400,2,22,0,36.66773,11
30,2700,400,3,12,0,62.1575,8
30,2700,400,4,142,110,6.904366,17
30,2700,500,1,24,3,23.298332,19
30,2700,500,2,44,35,2.8072727,10
30,2700,500,3,53,49,2.4364152,8
30,2700,500,4,105,97,1.8480953,9
30,2850,0,1,22,0,55.741817,22
30,2850,0,2,31,0,65.94968,31
30,2850,0,3,27,0,62.67037,25
30,2850,0,4,7,0,61.457146,7
30,2850,100,1,60,0,47.00783,39
30,2850,100,2,22,0,60.63591,19
30,2850,100,3,9,0,57.06222,7
30,2850,100,4,9,0,77.45555,9
30,2850,200,1,59,0,55.757965,46
30,2850,200,2,16,0,66.2175,15
30,2850,200,3,6,0,63.77667,5
30,2850,200,4,8,0,89.015,8
30,2850,300,1,135,44,24.313038,54
30,2850,300,2,16,0,57.1875,14
30,2850,300,3,6,0,74.651665,5
30,2850,300,4,15,0,62.787334,13
30,2850,400,1,143,20,28.013636,59
30,2850,400,2,9,0,42.40889,7
30,2850,400,3,7,0,61.832855,6
30,2850,400,4,170,137,4.7225294,17
30,2850,500,1,35,4,26.386856,31
30,2850,500,2,35,29,2.5045714,6
30,2850,500,3,49,46,2.112449,6
30,2850,500,4,132,122,2.187803,9
30,3000,0,1,18,0,61.95389,17
30,3000,0,2,27,0,71.46889,27
30,3000,0,3,32,0,65.17125,30
30,3000,0,4,16,0,63.95125,16
30,3000,100,1,34,0,66.29059,32
30,3000,100,2,17,0,80.66412,17
30,3000,100,3,14,0,78.317856,13
30,3000,100,4,13,0,66.699234,11
30,3000,200,1,45,0,61.761333,37
30,3000,200,2,16,0,74.61188,16
30,3000,200,3,12,0,77.0075,11
30,3000,200,4,13,0,76.69538,12
30,3000,300,1,73,3,44.559315,47
30,3000,300,2,16,0,60.630627,14
30,3000,300,3,7,0,77.08572,7
30,3000,300,4,18,0,62.324444,14
30,3000,400,1,96,2,37.47427,54
30,3000,400,2,14,0,53.19857,10
30,3000,400,3,15,0,59.797997,12
30,3000,400,4,175,144,5.2328,20
30,3000,500,1,30,0,32.499,30
30,3000,500,2,42,35,4.8759522,9
30,3000,500,3,39,34,4.5892305,7
30,3000,500,4,133,125,1.5511278,8
30,3150,0,1,20,0,56.803997,20
30,3150,0,2,25,0,55.8736,23
30,3150,0,3,25,0,63.317997,23
30,3150,0,4,15,0,62.03867,13
30,3150,100,1,39,0,52.667694,28
30,3150,100,2,19,0,63.125263,16
30,3150,100,3,12,0,81.32,12
30,3150,100,4,15,0,69.774666,14
30,3150,200,1,49,0,53.046124,34
30,3150,200,2,15,0,62.637333,12
30,3150,200,3,9,0,88.952225,9
30,3150,200,4,17,0,71.19941,16
30,3150,300,1,49,0,50.810818,35
30,3150,300,2,7,0,69.807144,6
30,3150,300,3,3,0,102.920006,3
30,3150,300,4,40,13,27.501251,17
30,3150,400,1,93,4,32.944195,45
30,3150,400,2,11,0,71.47091,9
30,3150,400,3,11,0,57.324547,8
30,3150,400,4,306,265,2.454771,22
30,3150,500,1,25,2,27.123999,23
30,3150,500,2,45,37,4.5642223,10
30,3150,500,3,48,45,1.305,7
30,3150,500,4,136,126,1.6590441,9
30,3300,0,1,19,0,56.774734,18
30,3300,0,2,33,0,63.93364,33
30,3300,0,3,31,0,58.31968,28
30,3300,0,4,14,0,61.697144,13
30,3300,100,1,47,0,48.483192,32
30,3300,100,2,26,0,65.00769,22
30,3300,100,3,13,0,72.691536,13
30,3300,100,4,14,0,64.21143,12
30,3300,200,1,64,0,42.51578,39
30,3300,200,2,26,0,54.674232,21
30,3300,200,3,8,0,81.073746,8
30,3300,200,4,16,0,65.234375,13
30,3300,300,1,71,0,41.10648,44
30,3300,300,2,18,0,60.75444,15
30,3300,300,3,8,0,94.01875,8
30,3300,300,4,101,77,7.882871,20
30,3300,400,1,93,1,29.135807,43
30,3300,400,2,32,8,32.62,14
30,3300,400,3,7,0,69.60429,7
30,3300,400,4,371,336,1.89345,18
30,3300,500,1,25,2,30.228802,23
30,3300,500,2,27,21,3.7537036,6
30,3300,500,3,34,30,5.6938233,6
30,3300,500,4,137,123,2.2375183,11
30,3450,0,1,15,0,49.34933,11
30,3450,0,2,10,0,52.437,10
30,3450,0,3,8,0,57.4075,7
30,3450,0,4,6,0,43.121662,5
30,3450,100,1,19,0,39.72579,13
30,3450,100,2,10,0,52.582,7
30,3450,100,3,4,0,73.8125,4
30,3450,100,4,4,0,34.8575,2
30,3450,200,1,22,0,49.265,16
30,3450,200,2,3,0,61.063335,3
30,3450,200,3,2,0,89.825,2
30,3450,200,4,5,0,34.842,2
30,3450,300,1,60,10,16.9375,17
30,3450,300,2,7,0,47.354282,5
30,3450,300,3,3,0,46.196667,2
30,3450,300,4,69,43,9.138261,16
30,3450,400,1,156,79,11.082564,27
30,3450,400,2,11,2,21.174545,5
30,3450,400,3,4,0,34.64,2
30,3450,400,4,387,346,2.3767443,19
30,3450,500,1,31,9,18.78903,20
30,3450,500,2,29,20,4.2851725,9
30,3450,500,3,65,63,0.57,5
30,3450,500,4,106,96,2.4343398,8
30,3600,0,1,29,0,53.93069,25
30,3600,0,2,25,0,62.1068,24
30,3600,0,3,29,0,57.447586,25
30,3600,0,4,8,0,63.846252,7
30,3600,100,1,54,0,47.907593,36
30,3600,100,2,18,0,68.71445,17
30,3600,100,3,18,0,65.69333,15
30,3600,100,4,8,0,76.34875,7
30,3600,200,1,62,0,51.378548,45
30,3600,200,2,14,0,77.27143,14
30,3600,200,3,13,0,61.525387,9
30,3600,200,4,7,0,84.99571,7
30,3600,300,1,59,0,53.24322,42
30,3600,300,2,19,0,65.2421,15
30,3600,300,3,6,0,63.335003,5
30,3600,300,4,13,3,53.340767,11
30,3600,400,1,91,15,34.237144,44
30,3600,400,2,12,0,59.545,11
30,3600,400,3,12,0,53.505833,9
30,3600,400,4,165,132,6.174667,17
30,3600,500,1,31,4,27.300968,27
30,3600,500,2,42,38,1.6178571,7
30,3600,500,3,26,19,10.764999,7
30,3600,500,4,131,122,1.8977863,9
30,3750,0,1,23,0,55.437393,21
30,3750,0,2,34,0,58.886177,32
30,3750,0,3,32,0,56.67781,29
30,3750,0,4,12,0,58.666668,11
30,3750,100,1,61,0,47.196884,39
30,3750,100,2,24,0,50.385,19
30,3750,100,3,18,0,71.25167,17
30,3750,100,4,7,0,75.318565,7
30,3750,200,1,71,0,41.926197,46
30,3750,200,2,24,0,49.461666,18
30,3750,200,3,12,0,64.035835,10
30,3750,200,4,8,0,76.47125,7
30,3750,300,1,89,3,39.56427,51
30,3750,300,2,22,0,51.559547,18
30,3750,300,3,6,0,69.095,6
30,3750,300,4,11,0,73.80454,10
30,3750,400,1,124,15,29.563627,55
30,3750,400,2,16,0,42.5825,10
30,3750,400,3,4,0,63.39,4
30,3750,400,4,35,11,24.334572,12
30,3750,500,1,41,5,21.181952,32
30,3750,500,2,39,32,3.0248718,8
30,3750,500,3,32,31,0.279375,3
30,3750,500,4,117,107,2.2381196,9
30,3900,0,1,24,0,53.869167,23
30,3900,0,2,33,0,56.134846,31
30,3900,0,3,30,0,56.105667,27
30,3900,0,4,10,0,57.819,10
30,3900,100,1,41,0,50.835365,28
30,3900,100,2,26,0,61.422306,24
30,3900,100,3,19,0,61.696316,17
30,3900,100,4,17,0,54.224705,12
30,3900,200,1,46,0,47.95174,33
30,3900,200,2,21,0,66.74619,19
30,3900,200,3,13,0,71.317696,12
30,3900,200,4,21,0,50.69905,14
30,3900,300,1,78,9,33.30782,38
30,3900,300,2,19,0,61.202103,17
30,3900,300,3,11,0,74.01455,11
30,3900,300,4,23,0,51.18826,18
30,3900,400,1,139,39,22.07,44
30,3900,400,2,26,0,45.283077,18
30,3900,400,3,10,0,59.112,8
30,3900,400,4,63,32,16.376507,15
30,3900,500,1,43,8,17.828838,30
30,3900,500,2,38,27,4.04,10
30,3900,500,3,49,42,3.0708163,8
30,3900,500,4,93,83,2.3496776,9
30,4050,0,1,23,0,54.76565,21
30,4050,0,2,34,0,53.980003,32
30,4050,0,3,30,0,54.149666,27
30,4050,0,4,9,0,61.183334,9
30,4050,100,1,43,0,50.729538,30
30,4050,100,2,26,0,57.38346,22
30,4050,100,3,15,0,63.81,14
30,4050,100,4,10,0,80.055,9
30,4050,200,1,51,0,49.762745,39
30,4050,200,2,15,0,57.609997,13
30,4050,200,3,12,0,74.10167,11
30,4050,200,4,11,0,82.88818,11
30,4050,300,1,65,0,43.715076,41
30,4050,300,2,12,0,57.974167,9
30,4050,300,3,8,0,61.36375,7
30,4050,300,4,14,0,66.11357,14
30,4050,400,1,72,6,41.661392,42
30,4050,400,2,22,6,34.774544,11
30,4050,400,3,13,0,63.75154,10
30,4050,400,4,162,128,5.673642,15
30,4050,500,1,26,2,32.62577,24
30,4050,500,2,51,42,6.5154905,10
30,4050,500,3,75,67,2.1022666,7
30,4050,500,4,132,121,2.2988636,10
30,4200,0,1,23,0,53.28522,22
30,4200,0,2,31,0,60.19903,30
30,4200,0,3,33,0,59.97879,31
30,4200,0,4,12,0,54.578335,11
30,4200,100,1,63,4,34.55873,32
30,4200,100,2,32,0,58.382187,28
30,4200,100,3,10,0,73.907,10
30,4200,100,4,13,0,64.22846,11
30,4200,200,1,72,1,37.53625,40
30,4200,200,2,31,0,51.299034,24
30,4200,200,3,10,0,74.212,9
30,4200,200,4,10,0,68.278,9
30,4200,300,1,86,2,31.422792,44
30,4200,300,2,31,0,47.079678,20
30,4200,300,3,6,0,74.878334,6
30,4200,300,4,13,0,64.48615,12
30,4200,400,1,112,25,22.94991,44
30,4200,400,2,26,3,27.17,14
30,4200,400,3,15,0,58.772663,12
30,4200,400,4,147,111,6.8189116,16
30,4200,500,1,29,6,17.666552,21
30,4200,500,2,74,62,4.053243,12
30,4200,500,3,74,67,2.3172972,10
30,4200,500,4,133,122,1.918797,10
30,4350,0,1,11,0,70.17182,11
30,4350,0,2,7,0,73.42857,7
30,4350,0,3,6,0,58.456665,6
30,4350,0,4,2,0,56.625,2
30,4350,100,1,17,0,57.48353,14
30,4350,100,2,6,0,48.14,4
30,4350,100,3,4,0,82.5775,4
30,4350,100,4,1,0,95.25,1
30,4350,200,1,27,5,34.73,16
30,4350,200,2,6,0,84.57166,6
30,4350,200,4,1,0,96.02,1
30,4350,300,1,121,60,14.6733885,28
30,4350,300,2,10,0,25.592,6
30,4350,400,1,267,158,6.1526594,33
30,4350,400,2,96,57,6.9089584,12
30,4350,400,3,1,0,45.24,1
30,4350,400,4,32,27,7.35125,5
30,4350,500,1,80,46,6.02625,26
30,4350,500,2,109,91,1.7858716,14
30,4350,500,3,40,38,0.90874994,4
30,4350,500,4,104,98,1.7682692,6
30,4500,0,1,31,0,48.98581,28
30,4500,0,2,34,0,47.118237,32
30,4500,0,3,32,0,51.751564,28
30,4500,0,4,11,0,66.046364,11
30,4500,100,1,53,0,45.4083,38
30,4500,100,2,28,0,52.47607,22
30,4500,100,3,17,0,62.630585,15
30,4500,100,4,8,0,88.5725,8
30,4500,200,1,75,7,38.220135,44
30,4500,200,2,24,0,55.84875,21
30,4500,200,3,15,0,60.816666,12
30,4500,200,4,5,0,91.92,5
30,4500,300,1,162,79,13.705185,39
